FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 0
Azimuth_end : 350
Azimuth_inc : 10
Range_beg : 100
Range_end : 60000
Range_inc : 100
Depth_beg : 20
Depth_end : 40
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
0            100      20       182.508             
0            100      40       184.041             
0            200      20       173.801             
0            200      40       176.236             
0            300      20       168.141             
0            300      40       170.637             
0            400      20       164.112             
0            400      40       166.767             
0            500      20       160.71              
0            500      40       163.483             
0            600      20       158.225             
0            600      40       161.303             
0            700      20       156.049             
0            700      40       158.592             
0            800      20       154.249             
0            800      40       157.094             
0            900      20       152.434             
0            900      40       155.453             
0            1000     20       152.06              
0            1000     40       154.187             
0            1100     20       150.651             
0            1100     40       153.2               
0            1200     20       150.144             
0            1200     40       152.304             
0            1300     20       149.758             
0            1300     40       152.005             
0            1400     20       149.246             
0            1400     40       151.054             
0            1500     20       148.812             
0            1500     40       151.397             
0            1600     20       148.457             
0            1600     40       149.892             
0            1700     20       148.375             
0            1700     40       149.898             
0            1800     20       147.656             
0            1800     40       149.772             
0            1900     20       147.523             
0            1900     40       149.352             
0            2000     20       147.442             
0            2000     40       148.402             
0            2100     20       147.002             
0            2100     40       148.837             
0            2200     20       147.277             
0            2200     40       148.579             
0            2300     20       147.306             
0            2300     40       148.46              
0            2400     20       146.699             
0            2400     40       147.975             
0            2500     20       146.374             
0            2500     40       148.072             
0            2600     20       146.362             
0            2600     40       147.559             
0            2700     20       146.696             
0            2700     40       147.562             
0            2800     20       146.947             
0            2800     40       148.058             
0            2900     20       147.102             
0            2900     40       148.518             
0            3000     20       146.979             
0            3000     40       147.963             
0            3100     20       146.354             
0            3100     40       147.096             
0            3200     20       146.227             
0            3200     40       146.805             
0            3300     20       145.427             
0            3300     40       145.808             
0            3400     20       144.661             
0            3400     40       144.908             
0            3500     20       144.689             
0            3500     40       145.689             
0            3600     20       145.187             
0            3600     40       145.395             
0            3700     20       145.464             
0            3700     40       145.843             
0            3800     20       144.83              
0            3800     40       145.564             
0            3900     20       145.666             
0            3900     40       145.478             
0            4000     20       145.348             
0            4000     40       145.239             
0            4100     20       143.806             
0            4100     40       144.188             
0            4200     20       145.753             
0            4200     40       144.922             
0            4300     20       145.295             
0            4300     40       144.121             
0            4400     20       145.622             
0            4400     40       145.3               
0            4500     20       145.012             
0            4500     40       145.011             
0            4600     20       145.562             
0            4600     40       145.077             
0            4700     20       145.134             
0            4700     40       145.054             
0            4800     20       144.923             
0            4800     40       144.829             
0            4900     20       144.989             
0            4900     40       144.652             
0            5000     20       144.481             
0            5000     40       144.839             
0            5100     20       144.588             
0            5100     40       144.927             
0            5200     20       143.725             
0            5200     40       144.231             
0            5300     20       144.177             
0            5300     40       144.304             
0            5400     20       144.269             
0            5400     40       144.262             
0            5500     20       143.865             
0            5500     40       144.461             
0            5600     20       143.647             
0            5600     40       144.074             
0            5700     20       143.283             
0            5700     40       144.225             
0            5800     20       143.354             
0            5800     40       143.874             
0            5900     20       143.6               
0            5900     40       144.286             
0            6000     20       143.833             
0            6000     40       145.112             
0            6100     20       144.071             
0            6100     40       145.286             
0            6200     20       143.711             
0            6200     40       144.921             
0            6300     20       143.295             
0            6300     40       144.201             
0            6400     20       143.342             
0            6400     40       144.143             
0            6500     20       142.495             
0            6500     40       143.689             
0            6600     20       143.208             
0            6600     40       143.552             
0            6700     20       141.909             
0            6700     40       142.56              
0            6800     20       142.622             
0            6800     40       142.014             
0            6900     20       142.049             
0            6900     40       141.577             
0            7000     20       141.359             
0            7000     40       140.988             
0            7100     20       142.832             
0            7100     40       141.659             
0            7200     20       142.546             
0            7200     40       142.182             
0            7300     20       143.365             
0            7300     40       141.557             
0            7400     20       143.539             
0            7400     40       142.294             
0            7500     20       144.232             
0            7500     40       142.402             
0            7600     20       143.747             
0            7600     40       141.972             
0            7700     20       144.192             
0            7700     40       141.891             
0            7800     20       144.372             
0            7800     40       141.359             
0            7900     20       144.427             
0            7900     40       141.788             
0            8000     20       145.117             
0            8000     40       142.688             
0            8100     20       144.973             
0            8100     40       142.41              
0            8200     20       145.122             
0            8200     40       143.086             
0            8300     20       145.701             
0            8300     40       143.625             
0            8400     20       145.309             
0            8400     40       143.453             
0            8500     20       145.071             
0            8500     40       143.44              
0            8600     20       145.355             
0            8600     40       143.344             
0            8700     20       145.521             
0            8700     40       143.818             
0            8800     20       145.673             
0            8800     40       144.825             
0            8900     20       145.893             
0            8900     40       145.589             
0            9000     20       146.12              
0            9000     40       145.854             
0            9100     20       146.541             
0            9100     40       146.315             
0            9200     20       146.505             
0            9200     40       146.646             
0            9300     20       147.59              
0            9300     40       146.696             
0            9400     20       147.788             
0            9400     40       147.258             
0            9500     20       147.64              
0            9500     40       147.031             
0            9600     20       147.532             
0            9600     40       147.043             
0            9700     20       147.24              
0            9700     40       146.309             
0            9800     20       147.123             
0            9800     40       146.435             
0            9900     20       146.935             
0            9900     40       145.882             
0            10000    20       146.459             
0            10000    40       145.853             
0            10100    20       146.282             
0            10100    40       144.854             
0            10200    20       145.389             
0            10200    40       143.613             
0            10300    20       145.677             
0            10300    40       144.298             
0            10400    20       145.7               
0            10400    40       144.524             
0            10500    20       145.634             
0            10500    40       144.297             
0            10600    20       145.1               
0            10600    40       143.396             
0            10700    20       145.544             
0            10700    40       143.105             
0            10800    20       145.66              
0            10800    40       144.501             
0            10900    20       145.678             
0            10900    40       144.632             
0            11000    20       145.632             
0            11000    40       143.95              
0            11100    20       144.887             
0            11100    40       143.205             
0            11200    20       145.21              
0            11200    40       142.926             
0            11300    20       145.547             
0            11300    40       143.26              
0            11400    20       145.3               
0            11400    40       144.038             
0            11500    20       144.66              
0            11500    40       142.461             
0            11600    20       143.982             
0            11600    40       143.489             
0            11700    20       144.317             
0            11700    40       142.373             
0            11800    20       143.967             
0            11800    40       142.446             
0            11900    20       143.488             
0            11900    40       142.817             
0            12000    20       143.762             
0            12000    40       142.086             
0            12100    20       143.491             
0            12100    40       143.52              
0            12200    20       143.497             
0            12200    40       143.435             
0            12300    20       143.554             
0            12300    40       143.846             
0            12400    20       143.823             
0            12400    40       143.409             
0            12500    20       143.858             
0            12500    40       145.013             
0            12600    20       144.043             
0            12600    40       144.622             
0            12700    20       144.448             
0            12700    40       144.752             
0            12800    20       143.244             
0            12800    40       145.125             
0            12900    20       143.332             
0            12900    40       144.69              
0            13000    20       143.171             
0            13000    40       143.423             
0            13100    20       142.089             
0            13100    40       143.967             
0            13200    20       142.055             
0            13200    40       144.357             
0            13300    20       141.725             
0            13300    40       143.357             
0            13400    20       141.188             
0            13400    40       143.092             
0            13500    20       140.393             
0            13500    40       142.136             
0            13600    20       140.312             
0            13600    40       141.578             
0            13700    20       139.412             
0            13700    40       141.134             
0            13800    20       140.926             
0            13800    40       141.927             
0            13900    20       139.884             
0            13900    40       142.128             
0            14000    20       141.288             
0            14000    40       142.695             
0            14100    20       141.126             
0            14100    40       142.302             
0            14200    20       140.66              
0            14200    40       141.957             
0            14300    20       141.225             
0            14300    40       140.98              
0            14400    20       139.912             
0            14400    40       141.707             
0            14500    20       140.544             
0            14500    40       141.729             
0            14600    20       139.314             
0            14600    40       141.014             
0            14700    20       141.139             
0            14700    40       141.992             
0            14800    20       138.618             
0            14800    40       141.991             
0            14900    20       139.689             
0            14900    40       142.53              
0            15000    20       138.612             
0            15000    40       141.895             
0            15100    20       140.33              
0            15100    40       143.014             
0            15200    20       140.313             
0            15200    40       142.374             
0            15300    20       139.835             
0            15300    40       142.403             
0            15400    20       139.863             
0            15400    40       142.361             
0            15500    20       139.294             
0            15500    40       142.362             
0            15600    20       140.872             
0            15600    40       142.686             
0            15700    20       139.774             
0            15700    40       142.738             
0            15800    20       140.789             
0            15800    40       142.281             
0            15900    20       139.866             
0            15900    40       142.88              
0            16000    20       142.102             
0            16000    40       141.621             
0            16100    20       142.446             
0            16100    40       143.312             
0            16200    20       140.68              
0            16200    40       142.246             
0            16300    20       141.659             
0            16300    40       142.879             
0            16400    20       141.865             
0            16400    40       141.821             
0            16500    20       141.841             
0            16500    40       142.906             
0            16600    20       141.554             
0            16600    40       142.671             
0            16700    20       142.448             
0            16700    40       143.295             
0            16800    20       141.168             
0            16800    40       141.063             
0            16900    20       141.288             
0            16900    40       142.914             
0            17000    20       138.272             
0            17000    40       139.627             
0            17100    20       142.158             
0            17100    40       140.934             
0            17200    20       139.727             
0            17200    40       140.476             
0            17300    20       140.315             
0            17300    40       142.216             
0            17400    20       140.456             
0            17400    40       140.7               
0            17500    20       140.636             
0            17500    40       141.796             
0            17600    20       140.929             
0            17600    40       139.814             
0            17700    20       142.814             
0            17700    40       139.213             
0            17800    20       140.071             
0            17800    40       141.607             
0            17900    20       142.371             
0            17900    40       142.652             
0            18000    20       143.894             
0            18000    40       141.849             
0            18100    20       139.142             
0            18100    40       141.401             
0            18200    20       143.692             
0            18200    40       142.179             
0            18300    20       141.443             
0            18300    40       138.449             
0            18400    20       142.863             
0            18400    40       144.657             
0            18500    20       143.627             
0            18500    40       140.794             
0            18600    20       143.496             
0            18600    40       143.952             
0            18700    20       142.962             
0            18700    40       141.406             
0            18800    20       142.699             
0            18800    40       141.393             
0            18900    20       142.638             
0            18900    40       143.846             
0            19000    20       139.747             
0            19000    40       138.34              
0            19100    20       142.961             
0            19100    40       141.836             
0            19200    20       140.499             
0            19200    40       139.781             
0            19300    20       141.857             
0            19300    40       141.363             
0            19400    20       141.616             
0            19400    40       141.899             
0            19500    20       142.068             
0            19500    40       139.333             
0            19600    20       142.276             
0            19600    40       142.132             
0            19700    20       139.891             
0            19700    40       140.405             
0            19800    20       142.861             
0            19800    40       140.75              
0            19900    20       141.38              
0            19900    40       141.31              
0            20000    20       140.998             
0            20000    40       140.193             
0            20100    20       142.466             
0            20100    40       140.879             
0            20200    20       139.402             
0            20200    40       140.424             
0            20300    20       141.982             
0            20300    40       141.743             
0            20400    20       141.405             
0            20400    40       140.75              
0            20500    20       139.357             
0            20500    40       139.702             
0            20600    20       140.721             
0            20600    40       139.473             
0            20700    20       139.793             
0            20700    40       138.691             
0            20800    20       140.458             
0            20800    40       140.638             
0            20900    20       139.567             
0            20900    40       141.35              
0            21000    20       136.855             
0            21000    40       138.851             
0            21100    20       141.474             
0            21100    40       140.22              
0            21200    20       140.623             
0            21200    40       136.556             
0            21300    20       138.319             
0            21300    40       139.95              
0            21400    20       143.118             
0            21400    40       139.753             
0            21500    20       141.98              
0            21500    40       139.888             
0            21600    20       139.718             
0            21600    40       139.217             
0            21700    20       142.079             
0            21700    40       140.139             
0            21800    20       140.831             
0            21800    40       141.571             
0            21900    20       140.421             
0            21900    40       139.953             
0            22000    20       141.096             
0            22000    40       139.749             
0            22100    20       141.86              
0            22100    40       140.16              
0            22200    20       142.063             
0            22200    40       140.205             
0            22300    20       141.007             
0            22300    40       140.161             
0            22400    20       141.442             
0            22400    40       137.823             
0            22500    20       139.749             
0            22500    40       140.097             
0            22600    20       141.979             
0            22600    40       139.77              
0            22700    20       142.455             
0            22700    40       138.647             
0            22800    20       137.8               
0            22800    40       138.959             
0            22900    20       140.347             
0            22900    40       139.388             
0            23000    20       140.772             
0            23000    40       139.276             
0            23100    20       139.42              
0            23100    40       139.532             
0            23200    20       140.099             
0            23200    40       137.626             
0            23300    20       141.692             
0            23300    40       139.226             
0            23400    20       138.657             
0            23400    40       139.007             
0            23500    20       139.713             
0            23500    40       140.063             
0            23600    20       140.883             
0            23600    40       138.026             
0            23700    20       140.512             
0            23700    40       139.313             
0            23800    20       138.147             
0            23800    40       140.589             
0            23900    20       140.628             
