FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 0
Azimuth_end : 350
Azimuth_inc : 10
Range_beg : 100
Range_end : 60000
Range_inc : 100
Depth_beg : 20
Depth_end : 40
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
0            100      20       182.575             
0            100      40       184.147             
0            200      20       173.75              
0            200      40       176.159             
0            300      20       168.177             
0            300      40       170.757             
0            400      20       164.074             
0            400      40       166.636             
0            500      20       160.935             
0            500      40       163.617             
0            600      20       158.19              
0            600      40       160.963             
0            700      20       156.148             
0            700      40       158.761             
0            800      20       154.35              
0            800      40       157.062             
0            900      20       153.178             
0            900      40       155.194             
0            1000     20       151.485             
0            1000     40       154.411             
0            1100     20       150.514             
0            1100     40       153.047             
0            1200     20       150.328             
0            1200     40       152.23              
0            1300     20       149.047             
0            1300     40       151.766             
0            1400     20       149.519             
0            1400     40       150.962             
0            1500     20       148.649             
0            1500     40       150.593             
0            1600     20       148.407             
0            1600     40       149.966             
0            1700     20       148.478             
0            1700     40       149.213             
0            1800     20       147.904             
0            1800     40       149.157             
0            1900     20       147.673             
0            1900     40       148.833             
0            2000     20       147.002             
0            2000     40       149.194             
0            2100     20       146.842             
0            2100     40       148.368             
0            2200     20       147.02              
0            2200     40       148.114             
0            2300     20       146.63              
0            2300     40       148.533             
0            2400     20       146.699             
0            2400     40       147.613             
0            2500     20       146.788             
0            2500     40       148.419             
0            2600     20       146.736             
0            2600     40       147.987             
0            2700     20       146.37              
0            2700     40       147.524             
0            2800     20       146.638             
0            2800     40       147.645             
0            2900     20       146.299             
0            2900     40       147.485             
0            3000     20       146.032             
0            3000     40       146.658             
0            3100     20       145.878             
0            3100     40       146.144             
0            3200     20       145.536             
0            3200     40       146.451             
0            3300     20       145.725             
0            3300     40       146.452             
0            3400     20       145.621             
0            3400     40       146.122             
0            3500     20       145.802             
0            3500     40       146.458             
0            3600     20       145.544             
0            3600     40       146.097             
0            3700     20       145.514             
0            3700     40       145.916             
0            3800     20       145.092             
0            3800     40       145.128             
0            3900     20       145.472             
0            3900     40       145.474             
0            4000     20       145.149             
0            4000     40       144.558             
0            4100     20       145.159             
0            4100     40       144.968             
0            4200     20       145.08              
0            4200     40       144.499             
0            4300     20       145.796             
0            4300     40       145.583             
0            4400     20       144.966             
0            4400     40       145.2               
0            4500     20       145.085             
0            4500     40       144.964             
0            4600     20       145.167             
0            4600     40       144.394             
0            4700     20       143.286             
0            4700     40       143.128             
0            4800     20       145.149             
0            4800     40       144.392             
0            4900     20       144.663             
0            4900     40       143.838             
0            5000     20       144.973             
0            5000     40       144.97              
0            5100     20       144.338             
0            5100     40       143.76              
0            5200     20       144.502             
0            5200     40       144.245             
0            5300     20       144.263             
0            5300     40       144.021             
0            5400     20       143.941             
0            5400     40       144.05              
0            5500     20       143.928             
0            5500     40       144.175             
0            5600     20       144.017             
0            5600     40       144.21              
0            5700     20       143.701             
0            5700     40       144.26              
0            5800     20       143.166             
0            5800     40       144.279             
0            5900     20       143.794             
0            5900     40       144.443             
0            6000     20       143.147             
0            6000     40       144.191             
0            6100     20       143.227             
0            6100     40       143.768             
0            6200     20       142.778             
0            6200     40       143.346             
0            6300     20       142.89              
0            6300     40       143.34              
0            6400     20       142.861             
0            6400     40       143.603             
0            6500     20       143.399             
0            6500     40       143.861             
0            6600     20       143.022             
0            6600     40       143.481             
0            6700     20       142.783             
0            6700     40       143.14              
0            6800     20       142.33              
0            6800     40       142.507             
0            6900     20       143.005             
0            6900     40       142.53              
0            7000     20       142.7               
0            7000     40       141.876             
0            7100     20       142.945             
0            7100     40       142.251             
0            7200     20       143.198             
0            7200     40       142.035             
0            7300     20       142.994             
0            7300     40       141.968             
0            7400     20       142.788             
0            7400     40       142.43              
0            7500     20       143.727             
0            7500     40       141.59              
0            7600     20       142.804             
0            7600     40       141.259             
0            7700     20       142.999             
0            7700     40       141.09              
0            7800     20       143.873             
0            7800     40       141.325             
0            7900     20       143.513             
0            7900     40       142.41              
0            8000     20       143.545             
0            8000     40       141.971             
0            8100     20       144.179             
0            8100     40       141.775             
0            8200     20       144.216             
0            8200     40       142.208             
0            8300     20       144.196             
0            8300     40       142.752             
0            8400     20       144.434             
0            8400     40       142.416             
0            8500     20       144.988             
0            8500     40       142.883             
0            8600     20       145.321             
0            8600     40       143.608             
0            8700     20       145.687             
0            8700     40       143.633             
0            8800     20       145.687             
0            8800     40       144.395             
0            8900     20       145.464             
0            8900     40       144.442             
0            9000     20       145.544             
0            9000     40       144.817             
0            9100     20       145.399             
0            9100     40       144.865             
0            9200     20       145.633             
0            9200     40       145.024             
0            9300     20       145.572             
0            9300     40       145.448             
0            9400     20       146.044             
0            9400     40       145.893             
0            9500     20       146.407             
0            9500     40       146.159             
0            9600     20       146.774             
0            9600     40       146.18              
0            9700     20       146.462             
0            9700     40       146.404             
0            9800     20       146.648             
0            9800     40       145.872             
0            9900     20       146.52              
0            9900     40       145.495             
0            10000    20       146.603             
0            10000    40       145.89              
0            10100    20       146.83              
0            10100    40       145.583             
0            10200    20       146.707             
0            10200    40       145.858             
0            10300    20       146.593             
0            10300    40       145.66              
0            10400    20       146.457             
0            10400    40       145.138             
0            10500    20       146.657             
0            10500    40       144.878             
0            10600    20       146.624             
0            10600    40       145.265             
0            10700    20       146.369             
0            10700    40       144.515             
0            10800    20       145.8               
0            10800    40       144.85              
0            10900    20       145.5               
0            10900    40       143.507             
0            11000    20       144.971             
0            11000    40       143.356             
0            11100    20       145.142             
0            11100    40       143.777             
0            11200    20       145.217             
0            11200    40       143.436             
0            11300    20       144.681             
0            11300    40       143.353             
0            11400    20       144.571             
0            11400    40       142.957             
0            11500    20       144.75              
0            11500    40       143.196             
0            11600    20       144.344             
0            11600    40       143.462             
0            11700    20       144.388             
0            11700    40       141.851             
0            11800    20       143.881             
0            11800    40       143.002             
0            11900    20       144.713             
0            11900    40       142.823             
0            12000    20       144.038             
0            12000    40       142.833             
0            12100    20       144.079             
0            12100    40       142.344             
0            12200    20       144.342             
0            12200    40       142.716             
0            12300    20       143.98              
0            12300    40       143.167             
0            12400    20       143.582             
0            12400    40       143.21              
0            12500    20       143.683             
0            12500    40       143.524             
0            12600    20       143.601             
0            12600    40       143.179             
0            12700    20       142.944             
0            12700    40       144.072             
0            12800    20       142.969             
0            12800    40       143.293             
0            12900    20       143.309             
0            12900    40       143.489             
0            13000    20       142.409             
0            13000    40       143.944             
0            13100    20       142.324             
0            13100    40       143.992             
0            13200    20       142.156             
0            13200    40       143.599             
0            13300    20       142.113             
0            13300    40       143.605             
0            13400    20       142.013             
0            13400    40       143.2               
0            13500    20       141.502             
0            13500    40       143.846             
0            13600    20       140.9               
0            13600    40       144.252             
0            13700    20       141.44              
0            13700    40       143.728             
0            13800    20       141.295             
0            13800    40       143.748             
0            13900    20       141.625             
0            13900    40       143.243             
0            14000    20       141.539             
0            14000    40       142.456             
0            14100    20       141.666             
0            14100    40       142.658             
0            14200    20       140.767             
0            14200    40       142.285             
0            14300    20       141.121             
0            14300    40       142.472             
0            14400    20       140.201             
0            14400    40       141.88              
0            14500    20       140.871             
0            14500    40       142.577             
0            14600    20       140.603             
0            14600    40       141.551             
0            14700    20       140.151             
0            14700    40       142.522             
0            14800    20       140.302             
0            14800    40       140.879             
0            14900    20       141.153             
0            14900    40       142.314             
0            15000    20       139.38              
0            15000    40       141.562             
0            15100    20       140.489             
0            15100    40       141.598             
0            15200    20       139.716             
0            15200    40       141.849             
0            15300    20       141.461             
0            15300    40       141.071             
0            15400    20       140.415             
0            15400    40       142.194             
0            15500    20       139.923             
0            15500    40       140.823             
0            15600    20       140.241             
