FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 90
Azimuth_end : 90
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
90           100      20       183.395             
90           100      40       181.898             
90           100      60       183.199             
90           100      80       183.802             
90           100      100      183.941             
90           100      120      184.025             
90           100      140      183.836             
90           100      160      183.469             
90           100      180      183.032             
90           100      200      182.565             
90           100      220      182.036             
90           100      240      181.458             
90           100      260      180.877             
90           100      280      180.395             
90           100      300      179.991             
90           100      320      179.657             
90           100      340      179.003             
90           100      360      178.62              
90           100      380      178.271             
90           100      400      178.002             
90           100      420      177.634             
90           100      440      177.182             
90           100      460      176.799             
90           100      480      176.568             
90           100      500      176.362             
90           100      520      176.077             
90           100      540      175.682             
90           100      560      175.381             
90           100      580      175.216             
90           100      600      175.04              
90           100      620      174.791             
90           100      640      174.363             
90           100      660      174.022             
90           100      680      174.046             
90           100      700      174.045             
90           100      720      173.47              
90           100      740      173.348             
90           100      760      173.278             
90           100      780      173.318             
90           100      800      173.178             
90           100      820      172.847             
90           100      840      172.58              
90           100      860      172.549             
90           100      880      172.52              
90           100      900      172.324             
90           100      920      171.914             
90           100      940      171.617             
90           100      960      171.59              
90           100      980      171.58              
90           100      1000     171.372             
90           200      20       178.932             
90           200      40       179.082             
90           200      60       177.844             
90           200      80       176.678             
90           200      100      177.034             
90           200      120      177.813             
90           200      140      178.186             
90           200      160      178.416             
90           200      180      178.34              
90           200      200      178.179             
90           200      220      178.125             
90           200      240      178.072             
90           200      260      178.034             
90           200      280      177.945             
90           200      300      177.712             
90           200      320      177.413             
90           200      340      177.178             
90           200      360      176.948             
90           200      380      176.736             
90           200      400      176.455             
90           200      420      176.11              
90           200      440      175.8               
90           200      460      175.566             
90           200      480      175.361             
90           200      500      175.119             
90           200      520      174.788             
90           200      540      174.476             
90           200      560      174.283             
90           200      580      174.129             
90           200      600      173.921             
90           200      620      173.584             
90           200      640      173.261             
90           200      660      173.169             
90           200      680      173.091             
90           200      700      172.778             
90           200      720      172.475             
90           200      740      172.311             
90           200      760      172.19              
90           200      780      172.064             
90           200      800      171.809             
90           200      820      171.539             
90           200      840      171.376             
90           200      860      171.287             
90           200      880      171.169             
90           200      900      170.964             
90           200      920      170.671             
90           200      940      170.505             
90           200      960      170.478             
90           200      980      170.412             
90           200      1000     170.164             
90           300      20       173.943             
90           300      40       175.51              
90           300      60       175.799             
90           300      80       175.329             
90           300      100      174.452             
90           300      120      173.775             
90           300      140      173.421             
90           300      160      173.941             
90           300      180      174.428             
90           300      200      174.826             
90           300      220      174.985             
90           300      240      175.178             
90           300      260      175.053             
90           300      280      174.898             
90           300      300      174.795             
90           300      320      174.736             
90           300      340      174.789             
90           300      360      174.751             
90           300      380      174.607             
90           300      400      174.466             
90           300      420      174.363             
90           300      440      174.275             
90           300      460      174.149             
90           300      480      173.975             
90           300      500      173.746             
90           300      520      173.552             
90           300      540      173.418             
90           300      560      173.279             
90           300      580      173.119             
90           300      600      172.865             
90           300      620      172.592             
90           300      640      172.474             
90           300      660      172.378             
90           300      680      172.121             
90           300      700      171.887             
90           300      720      171.73              
90           300      740      171.584             
90           300      760      171.47              
90           300      780      171.284             
90           300      800      171.053             
90           300      820      170.854             
90           300      840      170.74              
90           300      860      170.649             
90           300      880      170.513             
90           300      900      170.257             
90           300      920      170.033             
90           300      940      169.969             
90           300      960      169.913             
90           300      980      169.781             
90           300      1000     169.484             
90           400      20       169.846             
90           400      40       172.128             
90           400      60       173.131             
90           400      80       173.422             
90           400      100      173.197             
90           400      120      172.646             
90           400      140      172.076             
90           400      160      171.515             
90           400      180      171.221             
90           400      200      171.281             
90           400      220      171.541             
90           400      240      171.958             
90           400      260      172.314             
90           400      280      172.482             
90           400      300      172.617             
90           400      320      172.701             
90           400      340      172.638             
90           400      360      172.531             
90           400      380      172.461             
90           400      400      172.427             
90           400      420      172.391             
90           400      440      172.367             
90           400      460      172.288             
90           400      480      172.204             
90           400      500      172.188             
90           400      520      172.175             
90           400      540      172.093             
90           400      560      171.963             
90           400      580      171.788             
90           400      600      171.694             
90           400      620      171.63              
90           400      640      171.655             
90           400      660      171.311             
90           400      680      171.14              
90           400      700      171.04              
90           400      720      170.982             
90           400      740      170.905             
90           400      760      170.727             
90           400      780      170.499             
90           400      800      170.338             
90           400      820      170.26              
90           400      840      170.175             
90           400      860      170.043             
90           400      880      169.766             
90           400      900      169.574             
90           400      920      169.505             
90           400      940      169.483             
90           400      960      169.377             
90           400      980      169.096             
90           400      1000     168.834             
90           500      20       166.395             
90           500      40       169.041             
90           500      60       170.497             
90           500      80       171.205             
90           500      100      171.503             
90           500      120      171.483             
90           500      140      171.164             
90           500      160      170.642             
90           500      180      170.227             
90           500      200      169.789             
90           500      220      169.509             
90           500      240      169.404             
90           500      260      169.611             
90           500      280      169.826             
90           500      300      170.086             
90           500      320      170.32              
90           500      340      170.507             
90           500      360      170.639             
90           500      380      170.703             
90           500      400      170.764             
90           500      420      170.691             
90           500      440      170.606             
90           500      460      170.594             
90           500      480      170.597             
90           500      500      170.544             
90           500      520      170.49              
90           500      540      170.33              
90           500      560      170.251             
90           500      580      170.36              
90           500      600      170.392             
90           500      620      170.509             
90           500      640      170.205             
90           500      660      170.106             
90           500      680      170.065             
90           500      700      170.099             
90           500      720      170.049             
90           500      740      169.913             
90           500      760      169.747             
90           500      780      169.699             
90           500      800      169.636             
90           500      820      169.562             
90           500      840      169.41              
90           500      860      169.236             
90           500      880      169.096             
90           500      900      169.09              
90           500      920      169.028             
90           500      940      168.934             
90           500      960      168.71              
90           500      980      168.479             
90           500      1000     168.522             
90           600      20       163.563             
90           600      40       166.492             
90           600      60       168.138             
90           600      80       169.102             
90           600      100      169.648             
90           600      120      169.883             
90           600      140      169.895             
90           600      160      169.731             
90           600      180      169.488             
90           600      200      169.057             
90           600      220      168.668             
90           600      240      168.239             
90           600      260      167.993             
90           600      280      167.877             
90           600      300      167.889             
90           600      320      168.217             
90           600      340      168.462             
90           600      360      168.672             
90           600      380      168.825             
90           600      400      168.911             
90           600      420      169.074             
90           600      440      169.18              
90           600      460      169.142             
90           600      480      169.196             
90           600      500      169.12              
90           600      520      169.017             
90           600      540      169.098             
90           600      560      169.017             
90           600      580      169.164             
90           600      600      168.782             
90           600      620      168.726             
90           600      640      168.762             
90           600      660      168.739             
90           600      680      168.815             
90           600      700      168.82              
90           600      720      168.729             
90           600      740      168.611             
90           600      760      168.624             
90           600      780      168.659             
90           600      800      168.624             
90           600      820      168.539             
90           600      840      168.419             
90           600      860      168.358             
90           600      880      168.359             
90           600      900      168.331             
90           600      920      168.291             
90           600      940      168.135             
90           600      960      167.903             
90           600      980      167.977             
90           600      1000     167.919             
90           700      20       161.026             
90           700      40       163.985             
90           700      60       165.912             
90           700      80       167.14              
90           700      100      167.939             
90           700      120      168.335             
90           700      140      168.647             
90           700      160      168.627             
90           700      180      168.555             
90           700      200      168.292             
90           700      220      168.072             
