FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          100      20       183.838             
270          100      40       182.623             
270          100      60       183.76              
270          100      80       184.292             
270          100      100      184.379             
270          100      120      184.422             
270          100      140      184.235             
270          100      160      183.867             
270          100      180      183.343             
270          100      200      182.803             
270          100      220      182.313             
270          100      240      181.838             
270          100      260      181.188             
270          100      280      180.686             
270          100      300      180.247             
270          100      320      179.836             
270          100      340      179.416             
270          100      360      178.954             
270          100      380      178.516             
270          100      400      178.198             
270          100      420      177.891             
270          100      440      177.543             
270          100      460      177.168             
270          100      480      176.793             
270          100      500      176.581             
270          100      520      176.347             
270          100      540      176.112             
270          100      560      175.741             
270          100      580      175.399             
270          100      600      175.299             
270          100      620      175.157             
270          100      640      174.641             
270          100      660      174.448             
270          100      680      174.314             
270          100      700      174.214             
270          100      720      174.028             
270          100      740      173.74              
270          100      760      173.546             
270          100      780      173.501             
270          100      800      173.422             
270          100      820      173.275             
270          100      840      173.026             
270          100      860      172.804             
270          100      880      172.755             
270          100      900      172.649             
270          100      920      172.47              
270          100      940      172.085             
270          100      960      171.921             
270          100      980      171.813             
270          100      1000     171.984             
270          200      20       179.076             
270          200      40       179.272             
270          200      60       178.191             
270          200      80       177.195             
270          200      100      177.563             
270          200      120      178.241             
270          200      140      178.538             
270          200      160      178.764             
270          200      180      178.756             
270          200      200      178.702             
270          200      220      178.662             
270          200      240      178.555             
270          200      260      178.465             
270          200      280      178.333             
270          200      300      178.18              
270          200      320      177.949             
270          200      340      177.658             
270          200      360      177.379             
270          200      380      177.138             
270          200      400      176.896             
270          200      420      176.622             
270          200      440      176.32              
270          200      460      176.009             
270          200      480      175.764             
270          200      500      175.549             
270          200      520      175.334             
270          200      540      175.04              
270          200      560      174.711             
270          200      580      174.526             
270          200      600      174.393             
270          200      620      174.152             
270          200      640      173.827             
270          200      660      173.625             
270          200      680      173.485             
270          200      700      173.351             
270          200      720      173.084             
270          200      740      172.797             
270          200      760      172.652             
270          200      780      172.536             
270          200      800      172.35              
270          200      820      172.134             
270          200      840      171.896             
270          200      860      171.743             
270          200      880      171.631             
270          200      900      171.545             
270          200      920      171.274             
270          200      940      170.955             
270          200      960      170.916             
270          200      980      170.979             
270          200      1000     170.594             
270          300      20       174.126             
270          300      40       175.688             
270          300      60       175.99              
270          300      80       175.578             
270          300      100      174.799             
270          300      120      174.196             
270          300      140      173.964             
270          300      160      174.468             
270          300      180      174.844             
270          300      200      175.165             
270          300      220      175.322             
270          300      240      175.477             
270          300      260      175.51              
270          300      280      175.429             
270          300      300      175.291             
270          300      320      175.161             
270          300      340      175.175             
270          300      360      175.171             
270          300      380      175.119             
270          300      400      175.019             
270          300      420      174.858             
270          300      440      174.708             
270          300      460      174.604             
270          300      480      174.501             
270          300      500      174.366             
270          300      520      174.133             
270          300      540      173.882             
270          300      560      173.76              
270          300      580      173.71              
270          300      600      173.456             
270          300      620      173.211             
270          300      640      173.047             
270          300      660      172.925             
270          300      680      172.798             
270          300      700      172.578             
270          300      720      172.324             
270          300      740      172.173             
270          300      760      172.077             
270          300      780      171.93              
270          300      800      171.731             
270          300      820      171.508             
270          300      840      171.359             
270          300      860      171.263             
270          300      880      171.139             
270          300      900      170.957             
270          300      920      170.694             
270          300      940      170.587             
270          300      960      170.464             
270          300      980      170.435             
270          300      1000     170.138             
270          400      20       170.074             
270          400      40       172.284             
270          400      60       173.275             
270          400      80       173.6               
270          400      100      173.345             
270          400      120      172.864             
270          400      140      172.332             
270          400      160      171.86              
270          400      180      171.595             
270          400      200      171.76              
270          400      220      172.153             
270          400      240      172.514             
270          400      260      172.786             
270          400      280      172.927             
270          400      300      173.048             
270          400      320      173.178             
270          400      340      173.204             
270          400      360      173.135             
270          400      380      172.998             
270          400      400      172.882             
270          400      420      172.822             
270          400      440      172.827             
270          400      460      172.82              
270          400      480      172.75              
270          400      500      172.631             
270          400      520      172.61              
