FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : WG_5085

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          100      20       181.764             
270          100      40       182.696             
270          100      60       184.333             
270          100      80       184.98              
270          100      100      185.319             
270          100      120      185.367             
270          100      140      185.097             
270          100      160      184.635             
270          100      180      184.054             
270          100      200      183.447             
270          100      220      182.933             
270          100      240      182.422             
270          100      260      181.856             
270          100      280      181.277             
270          100      300      180.734             
270          100      320      180.321             
270          100      340      179.932             
270          100      360      179.586             
270          100      380      178.966             
270          100      400      178.628             
270          100      420      178.307             
270          100      440      178.025             
270          100      460      177.668             
270          100      480      177.162             
270          100      500      176.939             
270          100      520      176.734             
270          100      540      176.47              
270          100      560      176.139             
270          100      580      175.743             
270          100      600      175.59              
270          100      620      175.452             
270          100      640      175.179             
270          100      660      174.857             
270          100      680      174.565             
270          100      700      174.543             
270          100      720      174.46              
270          100      740      174.2               
270          100      760      173.868             
270          100      780      173.815             
270          100      800      173.758             
270          100      820      173.69              
270          100      840      173.373             
270          100      860      173.08              
270          100      880      173.103             
270          100      900      173.035             
270          100      920      172.839             
270          100      940      172.442             
270          100      960      172.171             
270          100      980      172.239             
270          100      1000     172.196             
270          200      20       178.471             
270          200      40       178.06              
270          200      60       176.676             
270          200      80       176.913             
270          200      100      178.154             
270          200      120      178.924             
270          200      140      179.24              
270          200      160      179.327             
270          200      180      179.594             
270          200      200      179.714             
270          200      220      179.714             
270          200      240      179.593             
270          200      260      179.408             
270          200      280      179.178             
270          200      300      178.962             
270          200      320      178.758             
270          200      340      178.404             
270          200      360      178.03              
270          200      380      177.738             
270          200      400      177.475             
270          200      420      177.235             
270          200      440      176.926             
270          200      460      176.541             
270          200      480      176.272             
270          200      500      176.07              
270          200      520      175.859             
270          200      540      175.57              
270          200      560      175.202             
270          200      580      174.969             
270          200      600      174.842             
270          200      620      174.642             
270          200      640      174.334             
270          200      660      174.029             
270          200      680      173.849             
270          200      700      173.75              
270          200      720      173.613             
270          200      740      173.198             
270          200      760      173.028             
270          200      780      172.877             
270          200      800      172.787             
270          200      820      172.61              
270          200      840      172.233             
270          200      860      172.066             
270          200      880      172.022             
270          200      900      171.918             
270          200      920      171.654             
270          200      940      171.321             
270          200      960      171.243             
270          200      980      171.229             
270          200      1000     171.055             
270          300      20       173.907             
270          300      40       175.177             
270          300      60       175.127             
270          300      80       174.301             
270          300      100      173.587             
270          300      120      173.488             
270          300      140      174.417             
270          300      160      175.163             
270          300      180      175.579             
270          300      200      175.927             
270          300      220      175.995             
270          300      240      175.99              
270          300      260      176.15              
270          300      280      176.316             
270          300      300      176.286             
270          300      320      176.218             
270          300      340      176.179             
270          300      360      176.117             
270          300      380      176.067             
270          300      400      175.977             
270          300      420      175.764             
270          300      440      175.552             
270          300      460      175.395             
270          300      480      175.247             
270          300      500      175.087             
270          300      520      174.845             
270          300      540      174.571             
270          300      560      174.388             
270          300      580      174.267             
270          300      600      174.1               
270          300      620      173.872             
270          300      640      173.594             
270          300      660      173.411             
270          300      680      173.318             
270          300      700      173.207             
270          300      720      172.89              
270          300      740      172.677             
270          300      760      172.515             
270          300      780      172.449             
270          300      800      172.323             
270          300      820      171.977             
270          300      840      171.773             
270          300      860      171.71              
270          300      880      171.632             
270          300      900      171.442             
270          300      920      171.127             
270          300      940      170.984             
270          300      960      170.956             
270          300      980      170.836             
270          300      1000     170.627             
270          400      20       169.988             
270          400      40       171.995             
270          400      60       172.774             
270          400      80       172.807             
270          400      100      172.357             
270          400      120      171.759             
270          400      140      171.254             
270          400      160      170.932             
270          400      180      171.597             
270          400      200      172.311             
270          400      220      172.973             
270          400      240      173.335             
270          400      260      173.551             
270          400      280      173.696             
270          400      300      173.773             
270          400      320      173.772             
270          400      340      173.792             
270          400      360      173.914             
270          400      380      173.857             
270          400      400      173.807             
270          400      420      173.815             
270          400      440      173.825             
270          400      460      173.803             
270          400      480      173.716             
270          400      500      173.569             
270          400      520      173.461             
270          400      540      173.411             
270          400      560      173.364             
270          400      580      173.242             
270          400      600      173.052             
270          400      620      172.827             
270          400      640      172.725             
270          400      660      172.741             
270          400      680      172.527             
270          400      700      172.291             
270          400      720      172.153             
270          400      740      172.037             
270          400      760      171.981             
270          400      780      171.843             
270          400      800      171.562             
270          400      820      171.414             
270          400      840      171.334             
270          400      860      171.262             
270          400      880      171.107             
270          400      900      170.86              
270          400      920      170.703             
270          400      940      170.613             
270          400      960      170.551             
270          400      980      170.383             
270          400      1000     170.194             
270          500      20       166.733             
270          500      40       169.181             
270          500      60       170.372             
270          500      80       170.883             
270          500      100      170.875             
270          500      120      170.691             
270          500      140      170.17              
270          500      160      169.863             
270          500      180      169.499             
270          500      200      169.148             
270          500      220      169.404             
270          500      240      170.012             
270          500      260      170.574             
270          500      280      171.076             
270          500      300      171.444             
270          500      320      171.656             
270          500      340      171.785             
270          500      360      171.865             
270          500      380      171.943             
270          500      400      172.007             
270          500      420      172.002             
270          500      440      172.029             
270          500      460      171.996             
270          500      480      171.992             
270          500      500      172.063             
270          500      520      172.159             
270          500      540      172.132             
270          500      560      172.002             
270          500      580      171.873             
270          500      600      171.848             
270          500      620      171.794             
270          500      640      171.966             
270          500      660      171.636             
270          500      680      171.499             
270          500      700      171.412             
270          500      720      171.339             
270          500      740      171.31              
270          500      760      171.154             
270          500      780      170.968             
270          500      800      170.846             
270          500      820      170.769             
270          500      840      170.673             
270          500      860      170.594             
270          500      880      170.366             
270          500      900      170.207             
270          500      920      170.115             
270          500      940      170.077             
270          500      960      170.012             
270          500      980      169.826             
270          500      1000     169.594             
270          600      20       163.933             
270          600      40       166.66              
270          600      60       168.09              
270          600      80       168.93              
270          600      100      169.281             
270          600      120      169.246             
270          600      140      169.15              
270          600      160      168.841             
270          600      180      168.425             
270          600      200      168.23              
270          600      220      168.141             
270          600      240      168.085             
270          600      260      168.092             
270          600      280      168.339             
270          600      300      168.707             
270          600      320      169.174             
270          600      340      169.528             
270          600      360      169.845             
270          600      380      170.049             
270          600      400      170.188             
270          600      420      170.256             
270          600      440      170.327             
270          600      460      170.399             
270          600      480      170.524             
270          600      500      170.502             
270          600      520      170.413             
270          600      540      170.467             
