FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 90
Azimuth_end : 90
Azimuth_inc : 90
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
90           100      20       183.446             
90           100      40       182.052             
90           100      60       183.234             
90           100      80       183.735             
90           100      100      183.82              
90           100      120      183.898             
90           100      140      183.756             
90           100      160      183.487             
90           100      180      183.093             
90           100      200      182.588             
90           100      220      182.003             
90           100      240      181.435             
90           100      260      181.001             
90           100      280      180.593             
90           100      300      180.105             
90           100      320      179.597             
90           100      340      179.117             
90           100      360      178.853             
90           100      380      178.499             
90           100      400      178.236             
90           100      420      177.655             
90           100      440      177.396             
90           100      460      177.104             
90           100      480      176.863             
90           100      500      176.53              
90           100      520      176.121             
90           100      540      175.912             
90           100      560      175.831             
90           100      580      175.561             
90           100      600      175.181             
90           100      620      174.843             
90           100      640      174.745             
90           100      660      174.61              
90           100      680      174.373             
90           100      700      174.127             
90           100      720      173.754             
90           100      740      173.736             
90           100      760      173.802             
90           100      780      173.368             
90           100      800      173.04              
90           100      820      173.227             
90           100      840      173.265             
90           100      860      173.017             
90           100      880      172.658             
90           100      900      172.391             
90           100      920      172.333             
90           100      940      172.307             
90           100      960      172.133             
90           100      980      171.64              
90           100      1000     171.347             
90           200      20       178.952             
90           200      40       179.044             
90           200      60       177.783             
90           200      80       176.602             
90           200      100      177.057             
90           200      120      177.889             
90           200      140      178.277             
90           200      160      178.477             
90           200      180      178.387             
90           200      200      178.271             
90           200      220      178.303             
90           200      240      178.334             
90           200      260      178.246             
90           200      280      178.093             
90           200      300      177.815             
90           200      320      177.519             
90           200      340      177.353             
90           200      360      177.124             
90           200      380      176.862             
90           200      400      176.425             
90           200      420      176.168             
90           200      440      175.927             
90           200      460      175.75              
90           200      480      175.414             
90           200      500      175.074             
90           200      520      174.854             
90           200      540      174.701             
90           200      560      174.521             
90           200      580      174.222             
90           200      600      173.936             
90           200      620      173.806             
90           200      640      173.636             
90           200      660      173.422             
90           200      680      173.287             
90           200      700      172.998             
90           200      720      172.855             
90           200      740      172.712             
90           200      760      172.993             
90           200      780      172.35              
90           200      800      172.067             
90           200      820      171.878             
90           200      840      171.991             
90           200      860      171.735             
90           200      880      171.295             
90           200      900      171.272             
90           200      920      171.263             
90           200      940      170.955             
90           200      960      170.823             
90           200      980      170.681             
90           200      1000     170.441             
90           300      20       174.038             
90           300      40       175.556             
90           300      60       175.841             
90           300      80       175.296             
90           300      100      174.4               
90           300      120      173.671             
90           300      140      173.271             
90           300      160      173.833             
90           300      180      174.445             
90           300      200      174.855             
90           300      220      175.009             
90           300      240      175.164             
90           300      260      175.088             
90           300      280      174.98              
90           300      300      174.988             
90           300      320      174.916             
90           300      340      175.133             
90           300      360      174.796             
90           300      380      174.818             
90           300      400      174.85              
90           300      420      174.702             
90           300      440      174.585             
90           300      460      174.362             
90           300      480      174.236             
90           300      500      174.083             
90           300      520      173.998             
90           300      540      173.79              
90           300      560      173.67              
90           300      580      173.455             
90           300      600      173.284             
90           300      620      173.149             
90           300      640      172.906             
90           300      660      172.88              
90           300      680      172.57              
90           300      700      172.239             
90           300      720      172.052             
90           300      740      171.976             
90           300      760      171.569             
90           300      780      171.532             
90           300      800      171.392             
90           300      820      171.387             
90           300      840      171.175             
90           300      860      170.936             
90           300      880      170.594             
90           300      900      170.463             
90           300      920      170.635             
90           300      940      170.3               
90           300      960      169.874             
90           300      980      169.901             
90           300      1000     169.816             
90           400      20       169.962             
90           400      40       172.21              
90           400      60       173.159             
90           400      80       173.412             
90           400      100      173.166             
90           400      120      172.625             
90           400      140      172.016             
90           400      160      171.546             
90           400      180      171.168             
90           400      200      171.184             
90           400      220      171.521             
90           400      240      171.879             
90           400      260      172.373             
90           400      280      172.476             
90           400      300      172.781             
90           400      320      172.498             
90           400      340      172.689             
90           400      360      172.705             
90           400      380      172.641             
90           400      400      172.711             
90           400      420      172.649             
90           400      440      172.461             
90           400      460      172.395             
90           400      480      172.43              
90           400      500      172.451             
90           400      520      172.424             
90           400      540      172.413             
