FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 90
Azimuth_end : 90
Azimuth_inc : 90
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
90           100      20       183.405             
90           100      40       181.99              
90           100      60       183.247             
90           100      80       183.861             
90           100      100      183.865             
90           100      120      183.962             
90           100      140      183.838             
90           100      160      183.528             
90           100      180      183.108             
90           100      200      182.587             
90           100      220      181.984             
90           100      240      181.485             
90           100      260      181.018             
90           100      280      180.546             
90           100      300      180.055             
90           100      320      179.552             
90           100      340      179.133             
90           100      360      178.795             
90           100      380      178.417             
90           100      400      178.059             
90           100      420      177.634             
90           100      440      177.257             
90           100      460      176.987             
90           100      480      176.884             
90           100      500      176.255             
90           100      520      176.054             
90           100      540      175.867             
90           100      560      175.733             
90           100      580      175.438             
90           100      600      175.043             
90           100      620      174.814             
90           100      640      174.634             
90           100      660      174.461             
90           100      680      174.23              
90           100      700      173.932             
90           100      720      173.752             
90           100      740      173.672             
90           100      760      173.583             
90           100      780      173.432             
90           100      800      173.116             
90           100      820      173.048             
90           100      840      172.993             
90           100      860      173.159             
90           100      880      172.523             
90           100      900      172.378             
90           100      920      172.271             
90           100      940      172.173             
90           100      960      171.917             
90           100      980      171.486             
90           100      1000     171.401             
90           200      20       178.944             
90           200      40       179.039             
90           200      60       177.77              
90           200      80       176.64              
90           200      100      177.069             
90           200      120      177.884             
90           200      140      178.242             
90           200      160      178.426             
90           200      180      178.339             
90           200      200      178.244             
90           200      220      178.286             
90           200      240      178.29              
90           200      260      178.195             
90           200      280      178.023             
90           200      300      177.819             
90           200      320      177.622             
90           200      340      177.412             
90           200      360      177.158             
90           200      380      176.885             
90           200      400      176.581             
90           200      420      176.318             
90           200      440      176.071             
90           200      460      175.924             
90           200      480      175.522             
90           200      500      175.25              
90           200      520      175.017             
90           200      540      174.841             
90           200      560      174.624             
90           200      580      174.326             
90           200      600      174.037             
90           200      620      173.858             
90           200      640      173.729             
90           200      660      173.514             
90           200      680      173.214             
90           200      700      173.001             
90           200      720      172.887             
90           200      740      172.704             
90           200      760      172.514             
90           200      780      172.277             
90           200      800      172.06              
90           200      820      171.908             
90           200      840      171.982             
90           200      860      171.587             
90           200      880      171.347             
90           200      900      171.179             
90           200      920      171.172             
90           200      940      171.038             
90           200      960      170.712             
90           200      980      170.512             
90           200      1000     170.498             
90           300      20       174.035             
90           300      40       175.578             
90           300      60       175.838             
90           300      80       175.339             
90           300      100      174.362             
90           300      120      173.589             
90           300      140      173.242             
90           300      160      173.879             
90           300      180      174.452             
90           300      200      174.843             
90           300      220      175.011             
90           300      240      175.12              
90           300      260      175.081             
90           300      280      175.028             
90           300      300      174.987             
90           300      320      174.94              
90           300      340      174.967             
90           300      360      174.886             
90           300      380      174.759             
90           300      400      174.743             
90           300      420      174.685             
90           300      440      174.594             
90           300      460      174.361             
90           300      480      174.2               
90           300      500      174.062             
90           300      520      173.988             
90           300      540      173.798             
90           300      560      173.555             
90           300      580      173.311             
90           300      600      173.204             
90           300      620      173.107             
90           300      640      172.907             
90           300      660      172.654             
90           300      680      172.434             
90           300      700      172.374             
90           300      720      172.242             
90           300      740      172.04              
90           300      760      171.853             
90           300      780      171.618             
90           300      800      171.472             
90           300      820      171.392             
90           300      840      171.021             
90           300      860      171.011             
90           300      880      170.89              
90           300      900      170.686             
90           300      920      170.648             
90           300      940      170.452             
90           300      960      170.159             
90           300      980      170.031             
90           300      1000     170.01              
90           400      20       169.954             
90           400      40       172.163             
90           400      60       173.144             
90           400      80       173.402             
90           400      100      173.157             
90           400      120      172.605             
90           400      140      172.049             
90           400      160      171.532             
90           400      180      171.145             
90           400      200      171.187             
90           400      220      171.593             
90           400      240      172.029             
90           400      260      172.33              
90           400      280      172.427             
90           400      300      172.55              
90           400      320      172.641             
90           400      340      172.637             
90           400      360      172.744             
90           400      380      172.68              
90           400      400      172.804             
90           400      420      172.529             
90           400      440      172.45              
90           400      460      172.502             
90           400      480      172.497             
90           400      500      172.462             
90           400      520      172.329             
90           400      540      172.291             
90           400      560      172.2               
90           400      580      172.16              
90           400      600      172.076             
90           400      620      172.046             
90           400      640      171.897             
90           400      660      171.792             
90           400      680      171.678             
90           400      700      171.55              
90           400      720      171.479             
90           400      740      171.268             
90           400      760      171.086             
90           400      780      170.933             
90           400      800      170.846             
90           400      820      170.535             
90           400      840      170.576             
90           400      860      170.556             
90           400      880      170.306             
90           400      900      170.234             
90           400      920      170.089             
90           400      940      169.93              
90           400      960      169.785             
90           400      980      169.579             
90           400      1000     169.614             
90           500      20       166.683             
90           500      40       169.227             
90           500      60       170.586             
90           500      80       171.276             
90           500      100      171.412             
90           500      120      171.292             
90           500      140      170.963             
90           500      160      170.494             
90           500      180      170.102             
90           500      200      169.705             
90           500      220      169.492             
90           500      240      169.391             
90           500      260      169.488             
90           500      280      169.815             
90           500      300      170.12              
90           500      320      170.504             
90           500      340      170.7               
90           500      360      170.975             
90           500      380      170.755             
90           500      400      170.91              
90           500      420      170.985             
90           500      440      170.886             
90           500      460      170.752             
90           500      480      170.61              
90           500      500      170.534             
90           500      520      170.498             
90           500      540      170.559             
90           500      560      170.664             
90           500      580      170.658             
90           500      600      170.663             
90           500      620      170.538             
90           500      640      170.53              
90           500      660      170.49              
90           500      680      170.524             
90           500      700      170.514             
90           500      720      170.43              
90           500      740      170.144             
90           500      760      170.099             
90           500      780      170.065             
90           500      800      169.802             
90           500      820      169.854             
90           500      840      169.829             
90           500      860      169.699             
90           500      880      169.607             
90           500      900      169.576             
90           500      920      169.398             
90           500      940      169.385             
90           500      960      169.166             
90           500      980      169.181             
90           500      1000     169.143             
90           600      20       163.89              
90           600      40       166.628             
90           600      60       168.255             
90           600      80       169.205             
90           600      100      169.575             
90           600      120      169.815             
90           600      140      169.709             
90           600      160      169.597             
90           600      180      169.308             
90           600      200      168.894             
90           600      220      168.553             
90           600      240      168.147             
90           600      260      168.092             
90           600      280      167.883             
