FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : WG_5085_2100

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          100      20       182.072             
270          100      40       182.985             
270          100      60       184.62              
270          100      80       185.291             
270          100      100      185.658             
270          100      120      185.7               
270          100      140      185.436             
270          100      160      184.952             
270          100      180      184.373             
270          100      200      183.778             
270          100      220      183.296             
270          100      240      182.822             
270          100      260      182.115             
270          100      280      181.573             
270          100      300      181.115             
270          100      320      180.694             
270          100      340      180.296             
270          100      360      179.788             
270          100      380      179.267             
270          100      400      178.986             
270          100      420      178.689             
270          100      440      178.349             
270          100      460      177.905             
270          100      480      177.459             
270          100      500      177.302             
270          100      520      177.106             
270          100      540      176.774             
270          100      560      176.382             
270          100      580      176.004             
270          100      600      175.963             
270          100      620      175.89              
270          100      640      175.296             
270          100      660      175.086             
270          100      680      174.971             
270          100      700      174.896             
270          100      720      174.8               
270          100      740      174.386             
270          100      760      174.134             
270          100      780      174.173             
270          100      800      174.131             
270          100      820      173.997             
270          100      840      173.622             
270          100      860      173.393             
270          100      880      173.466             
270          100      900      173.43              
270          100      920      173.118             
270          100      940      172.743             
270          100      960      172.571             
270          100      980      172.585             
270          100      1000     172.788             
270          200      20       178.808             
270          200      40       178.412             
270          200      60       177.043             
270          200      80       177.263             
270          200      100      178.466             
270          200      120      179.212             
270          200      140      179.528             
270          200      160      179.634             
270          200      180      179.913             
270          200      200      180.054             
270          200      220      180.007             
270          200      240      179.84              
270          200      260      179.713             
270          200      280      179.525             
270          200      300      179.311             
270          200      320      179.06              
270          200      340      178.685             
270          200      360      178.336             
270          200      380      178.079             
270          200      400      177.832             
270          200      420      177.56              
270          200      440      177.21              
270          200      460      176.853             
270          200      480      176.625             
270          200      500      176.445             
270          200      520      176.197             
270          200      540      175.873             
270          200      560      175.513             
270          200      580      175.33              
270          200      600      175.244             
270          200      620      174.978             
270          200      640      174.593             
270          200      660      174.385             
270          200      680      174.254             
270          200      700      174.16              
270          200      720      173.887             
270          200      740      173.5               
270          200      760      173.384             
270          200      780      173.3               
270          200      800      173.152             
270          200      820      172.884             
270          200      840      172.556             
270          200      860      172.449             
270          200      880      172.431             
270          200      900      172.279             
270          200      920      171.965             
270          200      940      171.614             
270          200      960      171.611             
270          200      980      171.749             
270          200      1000     171.301             
270          300      20       174.228             
270          300      40       175.491             
270          300      60       175.443             
270          300      80       174.608             
270          300      100      173.925             
270          300      120      173.842             
270          300      140      174.807             
270          300      160      175.555             
270          300      180      175.867             
270          300      200      176.226             
270          300      220      176.359             
270          300      240      176.355             
270          300      260      176.517             
270          300      280      176.616             
270          300      300      176.571             
270          300      320      176.499             
270          300      340      176.487             
270          300      360      176.458             
270          300      380      176.404             
270          300      400      176.266             
270          300      420      176.027             
270          300      440      175.825             
270          300      460      175.7               
270          300      480      175.591             
270          300      500      175.394             
270          300      520      175.128             
270          300      540      174.823             
270          300      560      174.687             
270          300      580      174.659             
270          300      600      174.369             
270          300      620      174.081             
270          300      640      173.9               
270          300      660      173.773             
270          300      680      173.685             
270          300      700      173.476             
270          300      720      173.132             
270          300      740      172.984             
270          300      760      172.906             
270          300      780      172.794             
270          300      800      172.583             
270          300      820      172.275             
270          300      840      172.125             
270          300      860      172.091             
270          300      880      171.97              
270          300      900      171.749             
270          300      920      171.438             
270          300      940      171.323             
270          300      960      171.294             
270          300      980      171.26              
270          300      1000     170.868             
270          400      20       170.339             
270          400      40       172.339             
270          400      60       173.126             
270          400      80       173.197             
270          400      100      172.647             
270          400      120      172.003             
270          400      140      171.476             
270          400      160      171.248             
270          400      180      171.922             
270          400      200      172.703             
270          400      220      173.317             
270          400      240      173.655             
270          400      260      173.867             
270          400      280      174.026             
270          400      300      174.147             
270          400      320      174.175             
270          400      340      174.175             
270          400      360      174.235             
270          400      380      174.164             
270          400      400      174.124             
270          400      420      174.152             
270          400      440      174.218             
270          400      460      174.141             
270          400      480      174.026             
270          400      500      173.888             
270          400      520      173.825             
270          400      540      173.738             
270          400      560      173.832             
270          400      580      173.453             
270          400      600      173.303             
270          400      620      173.184             
270          400      640      173.099             
270          400      660      173.01              
270          400      680      172.834             
270          400      700      172.572             
270          400      720      172.476             
270          400      740      172.374             
270          400      760      172.269             
270          400      780      172.132             
270          400      800      171.844             
270          400      820      171.709             
